alpha,gamma,epsilon,success_rate,last_failure
1.0,0.33,0.1,0.89,89
1.0,0.33,0.1,0.96,93
1.0,0.33,0.1,0.86,72
1.0,0.33,0.1,0.96,89
1.0,0.33,0.1,0.93,99
1.0,0.33,0.1,0.97,72
1.0,0.33,0.1,0.92,45
1.0,0.33,0.1,0.97,99
1.0,0.33,0.1,0.98,96
1.0,0.33,0.1,0.95,96
1.0,0.33,0.1,0.97,92
1.0,0.33,0.01,0.96,82
1.0,0.33,0.01,0.96,93
1.0,0.33,0.01,0.97,61
1.0,0.33,0.01,0.92,94
1.0,0.33,0.01,1.0,93
1.0,0.33,0.01,0.95,32
1.0,0.33,0.01,0.94,85
1.0,0.33,0.01,0.91,96
1.0,0.33,0.01,0.93,94
1.0,0.33,0.01,0.93,86
1.0,0.33,0.01,0.88,79
1.0,0.33,0.5,0.91,78
1.0,0.33,0.5,0.89,83
1.0,0.33,0.5,0.95,91
1.0,0.33,0.5,0.88,89
1.0,0.33,0.5,0.9,87
1.0,0.33,0.5,0.87,99
1.0,0.33,0.5,0.92,74
1.0,0.33,0.5,0.96,19
1.0,0.33,0.5,0.87,85
1.0,0.33,0.5,0.89,70
1.0,0.33,0.9,0.84,94
1.0,0.33,0.9,0.92,87
1.0,0.33,0.9,0.89,76
1.0,0.33,0.9,0.89,99
1.0,0.33,0.9,0.88,93
1.0,0.33,0.9,0.78,89
1.0,0.33,0.9,0.9,96
1.0,0.33,0.9,0.84,84
1.0,0.33,0.9,0.9,77
1.0,0.33,0.9,0.86,86
1.0,0.0,0.1,0.93,79
1.0,0.0,0.1,0.96,74
1.0,0.0,0.1,0.96,98
1.0,0.0,0.1,0.86,98
1.0,0.0,0.1,0.95,94
1.0,0.0,0.1,0.93,53
1.0,0.0,0.1,0.94,75
1.0,0.0,0.1,0.91,90
1.0,0.0,0.1,0.91,69
1.0,0.0,0.1,0.95,76
1.0,1.0,0.1,0.52,98
1.0,1.0,0.1,0.11,99
1.0,1.0,0.1,0.15,99
1.0,1.0,0.1,0.8,98
1.0,1.0,0.1,0.45,98
1.0,1.0,0.1,0.74,96
